City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lata,0,PT,1627492154,39,40.1629,-8.3327,91.04,11.12
Chui,95,UY,1627492123,76,-33.6971,-53.4616,46.09,17.27
Severo-Kuril'sk,100,RU,1627492190,97,50.6789,156.125,55.26,8.01
Pevek,100,RU,1627492194,97,69.7008,170.3133,33.26,23.17
Punta Arenas,0,CL,1627492094,81,-53.15,-70.9167,46.51,12.66
Ilulissat,75,GL,1627492181,50,69.2167,-51.1,53.62,5.75
Khatanga,99,RU,1627492137,53,71.9667,102.5,76.89,10.89
Qaanaaq,100,GL,1627492115,91,77.484,-69.3632,45.37,11.74
Busselton,55,AU,1627492094,80,-33.65,115.3333,58.08,24.11
Kavieng,65,PG,1627492222,76,-2.5744,150.7967,82.62,8.79
Hithadhoo,100,MV,1627491839,75,-0.6,73.0833,82.27,10.71
Castro,54,BR,1627492049,38,-24.7911,-50.0119,51.26,10.47
Yellowknife,68,CA,1627492181,57,62.456,-114.3525,65.28,3.0
Lebu,0,CL,1627492100,58,-37.6167,-73.65,54.7,16.93
Jamestown,20,US,1627491859,60,42.097,-79.2353,79.92,3.44
Cape Town,37,ZA,1627491810,61,-33.9258,18.4232,56.88,5.99
Solnechnyy,100,RU,1627492577,96,50.7214,136.6319,70.41,2.59
Muriti,41,TZ,1627492578,52,-1.9833,32.9167,75.0,4.34
Taltal,0,CL,1627492578,59,-25.4,-70.4833,62.35,5.03
Ranong,100,TH,1627492214,86,9.9658,98.6348,81.07,14.76
Atbasar,74,KZ,1627492579,66,51.8,68.3333,61.95,10.65
Albany,74,US,1627491907,62,42.6001,-73.9662,77.61,1.01
Pyapon,100,MM,1627492579,90,16.2833,95.6833,79.0,7.4
Chokurdakh,99,RU,1627492199,81,70.6333,147.9167,36.16,10.92
Agadez,63,NE,1627492580,19,19.75,10.25,101.59,7.02
Havre-St-Pierre,100,CA,1627492471,71,50.2334,-63.5986,56.98,10.87
Quatre Cocos,100,MU,1627492565,84,-20.2078,57.7625,70.09,24.11
Hermanus,26,ZA,1627492114,71,-34.4187,19.2345,53.8,19.06
Norman Wells,75,CA,1627492129,82,65.282,-126.8329,60.84,6.91
Carnarvon,75,AU,1627492138,63,-24.8667,113.6333,64.47,10.36
Muzhi,92,RU,1627492581,78,65.3667,64.6667,47.77,3.85
Talnakh,100,RU,1627492199,83,69.4865,88.3972,56.73,1.19
Sergeevka,69,KZ,1627492581,63,53.88,67.4158,54.39,6.49
Barrow,90,US,1627492096,93,71.2906,-156.7887,39.22,17.27
Hofn,55,IS,1627492319,84,64.2539,-15.2082,54.39,3.94
Cabo San Lucas,1,MX,1627491920,60,22.8909,-109.9124,94.8,1.01
Hilo,90,US,1627492137,91,19.7297,-155.09,75.79,6.91
Kavaratti,100,IN,1627492270,79,10.5669,72.642,82.13,15.99
Sitka,20,US,1627492228,77,57.0531,-135.33,58.89,0.0
Zirgan,2,RU,1627492582,47,53.2222,55.9185,58.69,5.21
San Quintín,3,MX,1627492307,69,30.4833,-115.95,75.4,11.14
Ushuaia,40,AR,1627492099,81,-54.8,-68.3,46.02,3.44
Atuona,68,PF,1627492119,75,-9.8,-139.0333,77.14,21.65
Belmonte,1,BR,1627492242,65,-15.8631,-38.8828,82.9,10.71
Bluff,42,NZ,1627492111,88,-46.6,168.3333,43.81,9.17
Turukhansk,91,RU,1627492583,90,65.8167,87.9833,52.27,5.03
Hasaki,9,JP,1627492136,88,35.7333,140.8333,77.4,19.33
